country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","12-04-2026 20:00:00",24.762518,84.982348,PM10,36,66,55
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","12-04-2026 20:00:00",24.762518,84.982348,CO,12,35,22
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","12-04-2026 20:00:00",26.63086,84.90051,NH3,3,3,3
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","12-04-2026 20:00:00",25.586562,85.043586,NH3,8,9,8
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","12-04-2026 20:00:00",25.586562,85.043586,SO2,3,8,6
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","12-04-2026 20:00:00",25.586562,85.043586,CO,27,86,38
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","12-04-2026 20:00:00",25.586562,85.043586,OZONE,10,17,15
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","12-04-2026 20:00:00",25.592539,85.227158,PM10,132,299,183
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","12-04-2026 20:00:00",25.610369,85.132568,SO2,1,27,14
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","12-04-2026 20:00:00",25.610369,85.132568,OZONE,59,61,60
India,Bihar,Patna,"Muradpur, Patna - BSPCB","12-04-2026 20:00:00",25.619651,85.147382,PM10,157,307,205
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","12-04-2026 20:00:00",30.751462,76.762879,SO2,3,11,8
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","12-04-2026 20:00:00",30.719859,76.738637,CO,29,101,34
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","12-04-2026 20:00:00",25.599486,85.113666,NO2,29,33,31
India,Bihar,Patna,"Samanpura, Patna - BSPCB","12-04-2026 20:00:00",25.596727,85.085624,PM2.5,38,92,63
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","12-04-2026 20:00:00",21.224231,81.408350,PM10,28,145,67
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","12-04-2026 20:00:00",21.224231,81.408350,SO2,9,89,33
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","12-04-2026 20:00:00",26.2271665,84.3570427,PM2.5,38,78,53
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","12-04-2026 20:00:00",25.892357,86.590325,SO2,16,18,17
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","12-04-2026 20:00:00",26.2271665,84.3570427,NO2,2,2,2
India,Bihar,Patna,"Samanpura, Patna - BSPCB","12-04-2026 20:00:00",25.596727,85.085624,CO,40,127,90
India,Delhi,Delhi,"Alipur, Delhi - DPCC","12-04-2026 20:00:00",28.815329,77.153010,PM10,96,405,204
India,Delhi,Delhi,"Alipur, Delhi - DPCC","12-04-2026 20:00:00",28.815329,77.153010,NO2,12,85,39
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","12-04-2026 20:00:00",28.647622,77.3158090,PM2.5,30,371,157
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","12-04-2026 20:00:00",28.647622,77.3158090,NO2,34,119,71
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","12-04-2026 20:00:00",28.4706914,77.1099364,OZONE,5,73,68
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","12-04-2026 20:00:00",22.1910172,83.5197009,PM10,42,340,103
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","12-04-2026 20:00:00",21.258815,81.578979,NO2,32,52,43
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","12-04-2026 20:00:00",21.258815,81.578979,CO,22,84,32
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","12-04-2026 20:00:00",21.258815,81.578979,OZONE,6,24,20
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","12-04-2026 20:00:00",22.348441,82.549611,NH3,1,1,1
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","12-04-2026 20:00:00",22.348441,82.549611,CO,19,35,25
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","12-04-2026 20:00:00",22.126650,83.483212,NH3,2,2,2
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","12-04-2026 20:00:00",22.08815,82.13737,CO,7,135,43
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","12-04-2026 20:00:00",22.118125,83.140608,PM10,64,94,74
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","12-04-2026 20:00:00",21.219665,81.630094,OZONE,1,10,7
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","12-04-2026 20:00:00",21.371751,81.664929,NH3,3,3,3
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","12-04-2026 20:00:00",22.06631475,83.33820077,CO,13,57,23
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","12-04-2026 20:00:00",22.06631475,83.33820077,OZONE,6,111,86
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","12-04-2026 20:00:00",22.368195,82.746431,OZONE,2,15,13
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","12-04-2026 20:00:00",22.348441,82.549611,NO2,20,28,22
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","12-04-2026 20:00:00",22.06631475,83.33820077,NO2,28,99,74
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","12-04-2026 20:00:00",22.118125,83.140608,SO2,5,92,20
India,Delhi,Delhi,"ITO, Delhi - CPCB","12-04-2026 20:00:00",28.628624,77.241060,NH3,4,6,5
India,Delhi,Delhi,"ITO, Delhi - CPCB","12-04-2026 20:00:00",28.628624,77.241060,CO,23,103,33
India,Delhi,Delhi,"JNU, Delhi - DPCC","12-04-2026 20:00:00","28.540721 ","77.168544 ",PM2.5,14,341,116
